animal,id,time,x,y
767,354,2006-04-23 00:00:55,1230495.14968837,5782929.07097989
767,355,2006-04-23 04:01:17,1230424.74011044,5782996.52435754
767,356,2006-04-23 08:01:55,1230884.65658665,5783548.0006204
767,357,2006-04-23 12:02:27,1230768.41677437,5783387.91796394
767,358,2006-04-23 16:01:54,1230538.20806741,5783530.04608278
767,359,2006-04-23 20:02:23,1231326.51704146,5783113.99192107
767,360,2006-04-24 00:01:54,1230462.02100791,5782846.35793795
767,361,2006-04-24 08:01:54,1231362.17267436,5783407.25084507
767,362,2006-04-24 20:02:22,1230324.36332559,5782792.22619636
767,363,2006-04-25 00:00:55,1230332.52304427,5782804.31243751
767,364,2006-04-25 04:01:41,1230341.27275624,5783187.02521397
767,365,2006-04-25 12:02:26,1230547.46984904,5783482.13008855
767,366,2006-04-25 16:02:20,1230667.31641283,5783551.17472995
767,367,2006-04-25 20:01:54,1230071.18940768,5783032.73587634
767,368,2006-04-26 00:01:59,1230229.79741817,5783140.66599516
767,369,2006-04-26 04:02:17,1230455.80938032,5783244.31733594
767,370,2006-04-26 08:02:39,1230547.3696615,5783521.02073519
767,371,2006-04-26 16:02:23,1230534.31188523,5783665.10677809
767,372,2006-04-26 20:01:47,1230109.59463201,5782906.38893519
767,373,2006-04-27 00:02:11,1230106.76711694,5782835.40973849
767,374,2006-04-27 04:00:55,1230487.92505342,5783195.66549628
767,375,2006-04-27 16:02:39,1230609.87555558,5783492.8386255
767,376,2006-04-29 00:02:55,1229742.90822933,5783009.86120781
767,377,2006-04-29 04:01:20,1230529.36929984,5783242.57003296
767,378,2006-04-29 08:02:46,1230745.38477172,5783559.86345986
767,379,2006-04-29 16:02:05,1230618.83677459,5783492.67831797
767,380,2006-04-29 20:02:28,1230278.84478581,5782649.82138111
767,381,2006-04-30 00:02:47,1230968.30205204,5783213.74759859
767,382,2006-04-30 12:01:23,1231389.4904774,5783246.17685142
767,383,2006-04-30 16:01:42,1231388.00992817,5783266.96818468
767,384,2006-04-30 20:01:54,1230985.75694819,5783100.97551502
767,385,2006-05-01 00:01:49,1230100.52209351,5782743.78522016
767,386,2006-05-01 08:02:29,1230767.16999607,5783522.72000065
767,387,2006-05-01 12:02:11,1230561.81893141,5783575.55770024
767,388,2006-05-01 16:02:29,1230628.84439681,5783596.14140389
767,389,2006-05-01 20:01:36,1230086.08395555,5782756.60874865
767,390,2006-05-02 00:02:07,1230130.34458509,5782948.57918773
767,391,2006-05-02 04:01:54,1230655.83937333,5783260.39574561
767,392,2006-05-02 12:02:03,1230584.40565609,5783826.1242595
767,393,2006-05-02 16:03:03,1230611.97949396,5783675.9277537
767,394,2006-05-02 20:02:58,1230143.43575721,5782706.80547375
767,395,2006-05-03 00:00:48,1230383.91925317,5782880.00409968
767,396,2006-05-03 04:01:19,1230942.15310365,5783121.59017679
767,397,2006-05-03 12:03:06,1230516.85698907,5783561.75510329
767,398,2006-05-03 16:02:09,1230590.23879741,5783542.11729916
